android.view.View;void setImportantForAccessibility(int mode);DEF;ACCESSIBILITY;1;
android.view.View;void sendAccessibilityEvent(int eventType);DEF;ACCESSIBILITY_EVENT;2;
android.view.View;void setAccessibilityHeading(boolean isHeading);DEF;ACCESSIBILITY_HEADING;3;
android.view.View;void setAccessibilityLiveRegion(int mode);DEF;ACCESSIBILITY_REGION;4;
android.view.View;void setAccessibilityTraversalAfter(int afterId);DEF;ACCESSIBILITY_TRAVERSAL_A;5;
android.view.View;void setAccessibilityTraversalBefore(int beforeId);DEF;ACCESSIBILITY_TRAVERSAL_B;6;
android.view.View;boolean isActivated();USE;ACTIVATE;7;
android.view.View;void setActivated(boolean activated);DEF;ACTIVATE;7;
android.view.View;void setAlpha(float alpha);DEF;ALPHA;8;
android.view.View;float getAlpha();USE;ALPHA;8;
android.view.View;boolean isAutoHandwritingEnabled();USE;AUTO_HW;9;
android.view.View;void setAutoHandwritingEnabled(boolean enabled);DEF;AUTO_HW;9;
android.view.View;void setImportantForAutofill(int mode);DEF;AUTOFILL;10;
android.view.View;boolean isVisibleToUserForAutofill(int virtualId);USE;AUTOFILL;10;
android.view.View;final int getBottom();USE;BOTTOM;11;
android.view.View;final void setBottom(int bottom);DEF;BOTTOM;11;
android.view.View;boolean isClickable();USE;CLICK;12;
android.view.View;boolean performClick();DEF;CLICK;12;
android.view.View;void setAllowClickWhenDisabled(boolean clickableWhenDisabled);DEF;CLICK;12;
android.view.View;void setClickable(boolean clickable);DEF;CLICK;12;
android.view.View;void setClickable(boolean clickable);DEF;CLICK;12;
android.view.View;void setImportantForContentCapture(int mode);DEF;CONTENT_CAPTURE;13;
android.view.View;int getImportantForContentCapture();USE;CONTENT_CAPTURE;13;
android.view.View;boolean isImportantForContentCapture();USE;CONTENT_CAPTURE;13;
android.view.View;boolean isContextClickable();USE;CONTEXT_CLICK;14;
android.view.View;boolean performContextClick(float x, float y);DEF;CONTEXT_CLICK;14;
android.view.View;boolean performContextClick();DEF;CONTEXT_CLICK;14;
android.view.View;void setContextClickable(boolean contextClickable);DEF;CONTEXT_CLICK;14;
android.view.View;android.view.View findViewById(int id);DEF;CREATEID;15;
